Symbol,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE
spx,Long,15/03/1950,  17.450,26/06/1950,  18.110,   3.782%,   0.038,   3.782%,   0.057,   1.000,   0.038,  72.000,   0.001,  -0.917%,  11.175%
spx,Long,31/07/1950,  17.840,1/11/1950,  19.560,   9.641%,   0.100,   9.641%,   0.058,   1.038,   0.138,  66.000,   0.002,   0.000%,  12.780%
spx,Long,2/11/1950,  19.730,3/11/1950,  19.850,   0.608%,   0.007,   0.608%,   0.058,   1.138,   0.145,   2.000,   0.007,   0.000%,   0.608%
spx,Long,10/11/1950,  19.940,16/11/1950,  19.720,  -1.103%,  -0.013,  -1.103%,   0.057,   1.145,   0.132,   5.000,  -0.003,  -1.103%,   0.351%
spx,Long,22/11/1950,  20.160,28/11/1950,  19.560,  -2.976%,  -0.034,  -2.976%,   0.056,   1.132,   0.098,   4.000,  -0.011,  -2.976%,   0.794%
spx,Long,1/12/1950,  19.660,4/12/1950,  19.000,  -3.357%,  -0.037,  -3.357%,   0.056,   1.098,   0.062,   2.000,  -0.037,  -3.357%,   0.000%
spx,Long,7/12/1950,  19.400,8/12/1950,  19.400,   0.000%,   0.000,   0.000%,   0.055,   1.062,   0.062,   2.000,   0.000,   0.000%,   0.000%
spx,Long,18/12/1950,  19.850,22/12/1950,  20.070,   1.108%,   0.012,   1.108%,   0.053,   1.062,   0.073,   5.000,   0.003,   0.000%,   1.108%
spx,Long,27/12/1950,  20.300,7/03/1951,  21.860,   7.685%,   0.082,   7.685%,   0.053,   1.073,   0.156,  48.000,   0.002,   0.000%,   9.360%
spx,Long,12/04/1951,  21.830,15/05/1951,  21.760,  -0.321%,  -0.004,  -0.321%,   0.053,   1.156,   0.152,  24.000,  -0.000,  -0.321%,   4.489%
spx,Long,14/06/1951,  21.840,28/06/1951,  21.100,  -3.388%,  -0.039,  -3.388%,   0.053,   1.152,   0.113,  11.000,  -0.004,  -3.388%,   0.962%
spx,Long,5/07/1951,  21.640,16/07/1951,  21.730,   0.416%,   0.005,   0.416%,   0.051,   1.113,   0.118,   8.000,   0.001,  -0.046%,   1.571%
spx,Long,23/07/1951,  22.100,19/10/1951,  23.320,   5.520%,   0.062,   5.520%,   0.051,   1.118,   0.179,  63.000,   0.001,   0.000%,   7.919%
spx,Long,30/11/1951,  22.880,5/12/1951,  23.070,   0.830%,   0.010,   0.830%,   0.052,   1.179,   0.189,   4.000,   0.003,   0.000%,   1.136%
spx,Long,6/12/1951,  23.340,13/02/1952,  23.920,   2.485%,   0.030,   2.485%,   0.051,   1.189,   0.219,  47.000,   0.001,  -0.171%,   5.656%
spx,Long,17/03/1952,  23.920,15/04/1952,  23.650,  -1.129%,  -0.014,  -1.129%,   0.051,   1.219,   0.205,  21.000,  -0.001,  -1.129%,   1.881%
spx,Long,7/05/1952,  23.810,8/05/1952,  23.860,   0.210%,   0.003,   0.210%,   0.051,   1.205,   0.208,   2.000,   0.003,   0.000%,   0.210%
spx,Long,14/05/1952,  23.680,19/08/1952,  24.890,   5.110%,   0.062,   5.110%,   0.051,   1.208,   0.269,  68.000,   0.001,  -0.507%,   7.897%
spx,Long,31/10/1952,  24.520,12/01/1953,  25.860,   5.465%,   0.069,   5.465%,   0.052,   1.269,   0.339,  47.000,   0.002,   0.000%,   8.728%
spx,Long,13/01/1953,  26.020,16/01/1953,  26.020,   0.000%,   0.000,   0.000%,   0.051,   1.339,   0.339,   4.000,   0.000,   0.000%,   0.423%
spx,Long,20/01/1953,  26.140,21/01/1953,  26.090,  -0.191%,  -0.003,  -0.191%,   0.051,   1.339,   0.336,   2.000,  -0.003,  -0.191%,   0.000%
spx,Long,6/02/1953,  26.510,9/02/1953,  25.690,  -3.093%,  -0.041,  -3.093%,   0.050,   1.336,   0.295,   2.000,  -0.041,  -3.093%,   0.000%
spx,Long,12/03/1953,  26.130,30/03/1953,  25.610,  -1.990%,  -0.026,  -1.990%,   0.050,   1.295,   0.269,  13.000,  -0.002,  -1.990%,   0.765%
spx,Long,5/05/1953,  25.030,7/05/1953,  24.900,  -0.519%,  -0.007,  -0.519%,   0.051,   1.269,   0.262,   3.000,  -0.003,  -0.519%,   0.000%
spx,Long,8/05/1953,  24.900,12/05/1953,  24.740,  -0.643%,  -0.008,  -0.643%,   0.051,   1.262,   0.254,   3.000,  -0.004,  -0.643%,   0.040%
spx,Long,18/05/1953,  24.750,19/05/1953,  24.700,  -0.202%,  -0.003,  -0.202%,   0.051,   1.254,   0.252,   2.000,  -0.003,  -0.202%,   0.000%
spx,Long,20/05/1953,  24.930,28/05/1953,  24.460,  -1.885%,  -0.024,  -1.885%,   0.050,   1.252,   0.228,   7.000,  -0.004,  -1.885%,   0.521%
spx,Long,1/07/1953,  24.240,27/07/1953,  24.070,  -0.701%,  -0.009,  -0.701%,   0.051,   1.228,   0.220,  19.000,  -0.000,  -0.701%,   1.114%
spx,Long,29/07/1953,  24.260,24/08/1953,  24.090,  -0.701%,  -0.009,  -0.701%,   0.050,   1.220,   0.211,  19.000,  -0.000,  -0.701%,   2.391%
spx,Long,30/09/1953,  23.350,5/10/1953,  23.480,   0.557%,   0.007,   0.557%,   0.052,   1.211,   0.218,   4.000,   0.002,   0.000%,   1.028%
spx,Long,9/10/1953,  23.660,29/12/1953,  24.550,   3.762%,   0.046,   3.762%,   0.051,   1.218,   0.264,  53.000,   0.001,  -0.380%,   5.621%
spx,Long,12/01/1954,  24.930,23/02/1954,  25.830,   3.610%,   0.046,   3.610%,   0.051,   1.264,   0.309,  30.000,   0.002,   0.000%,   5.495%
spx,Long,26/02/1954,  26.150,8/06/1954,  28.340,   8.375%,   0.110,   8.375%,   0.050,   1.309,   0.419,  71.000,   0.002,   0.000%,  11.625%
spx,Long,14/06/1954,  28.620,9/08/1954,  30.120,   5.241%,   0.074,   5.241%,   0.050,   1.419,   0.493,  40.000,   0.002,   0.000%,   8.281%
spx,Long,10/08/1954,  30.370,26/08/1954,  30.570,   0.659%,   0.010,   0.659%,   0.049,   1.493,   0.503,  13.000,   0.001,   0.000%,   2.766%
spx,Long,7/09/1954,  30.660,22/10/1954,  32.130,   4.795%,   0.072,   4.795%,   0.049,   1.503,   0.575,  34.000,   0.002,   0.000%,   6.849%
spx,Long,4/11/1954,  32.820,5/11/1954,  32.710,  -0.335%,  -0.005,  -0.335%,   0.048,   1.575,   0.570,   2.000,  -0.005,  -0.335%,   0.000%
spx,Long,8/11/1954,  33.020,17/01/1955,  34.580,   4.724%,   0.074,   4.724%,   0.048,   1.570,   0.644,  49.000,   0.002,   0.000%,  11.296%
spx,Long,21/01/1955,  35.440,1/02/1955,  36.720,   3.612%,   0.059,   3.612%,   0.046,   1.644,   0.703,   8.000,   0.008,   0.000%,   3.612%
spx,Long,2/02/1955,  36.610,8/03/1955,  36.580,  -0.082%,  -0.001,  -0.082%,   0.047,   1.703,   0.702,  24.000,  -0.000,  -0.464%,   2.486%
spx,Long,24/03/1955,  36.930,30/03/1955,  36.520,  -1.110%,  -0.019,  -1.110%,   0.046,   1.702,   0.683,   5.000,  -0.005,  -1.110%,   0.081%
spx,Long,6/04/1955,  37.170,11/05/1955,  37.420,   0.673%,   0.011,   0.673%,   0.045,   1.683,   0.694,  25.000,   0.000,   0.000%,   3.094%
spx,Long,27/05/1955,  37.930,31/05/1955,  37.910,  -0.053%,  -0.001,  -0.053%,   0.045,   1.694,   0.693,   2.000,  -0.001,  -0.053%,   0.000%
spx,Long,2/06/1955,  38.010,4/08/1955,  42.360,  11.444%,   0.194,  11.444%,   0.045,   1.693,   0.887,  45.000,   0.004,   0.000%,  15.128%
spx,Long,31/08/1955,  43.180,26/09/1955,  42.610,  -1.320%,  -0.025,  -1.320%,   0.044,   1.887,   0.862,  18.000,  -0.001,  -1.320%,   5.674%
spx,Long,27/09/1955,  43.580,3/10/1955,  42.490,  -2.501%,  -0.047,  -2.501%,   0.043,   1.862,   0.816,   5.000,  -0.012,  -2.501%,   1.675%
spx,Long,25/10/1955,  42.630,26/10/1955,  42.290,  -0.798%,  -0.014,  -0.798%,   0.043,   1.816,   0.801,   2.000,  -0.014,  -0.798%,   0.000%
spx,Long,3/11/1955,  43.240,14/12/1955,  45.070,   4.232%,   0.076,   4.232%,   0.042,   1.801,   0.877,  28.000,   0.003,   0.000%,   7.331%
spx,Long,21/12/1955,  45.840,22/12/1955,  45.410,  -0.938%,  -0.018,  -0.938%,   0.041,   1.877,   0.860,   2.000,  -0.018,  -0.938%,   0.000%
spx,Long,7/02/1956,  44.600,16/04/1956,  47.960,   7.534%,   0.140,   7.534%,   0.042,   1.860,   1.000,  48.000,   0.003,  -2.646%,   9.574%
spx,Long,9/05/1956,  47.940,10/05/1956,  47.160,  -1.627%,  -0.033,  -1.627%,   0.042,   2.000,   0.967,   2.000,  -0.033,  -1.627%,   0.000%
spx,Long,15/06/1956,  46.370,18/06/1956,  46.170,  -0.431%,  -0.008,  -0.431%,   0.042,   1.967,   0.959,   2.000,  -0.008,  -0.431%,   0.000%
spx,Long,20/06/1956,  46.410,13/08/1956,  48.580,   4.676%,   0.092,   4.676%,   0.042,   1.959,   1.051,  38.000,   0.002,   0.000%,   6.960%
spx,Long,12/10/1956,  47.000,15/10/1956,  46.860,  -0.298%,  -0.006,  -0.298%,   0.044,   2.051,   1.044,   2.000,  -0.006,  -0.298%,   0.000%
spx,Long,18/10/1956,  46.340,22/10/1956,  46.230,  -0.237%,  -0.005,  -0.237%,   0.044,   2.044,   1.040,   3.000,  -0.002,  -0.237%,   0.000%
spx,Long,24/10/1956,  45.930,9/11/1956,  46.340,   0.893%,   0.018,   0.893%,   0.044,   2.040,   1.058,  12.000,   0.002,  -0.762%,   3.636%
spx,Long,3/12/1956,  45.980,4/12/1956,  45.840,  -0.304%,  -0.006,  -0.304%,   0.045,   2.058,   1.052,   2.000,  -0.006,  -0.304%,   0.000%
spx,Long,10/12/1956,  46.800,12/12/1956,  46.130,  -1.432%,  -0.029,  -1.432%,   0.044,   2.052,   1.022,   3.000,  -0.015,  -1.432%,   0.000%
spx,Long,13/12/1956,  46.500,8/01/1957,  46.250,  -0.538%,  -0.011,  -0.538%,   0.043,   2.022,   1.011,  16.000,  -0.001,  -0.925%,   0.366%
spx,Long,7/03/1957,  44.210,24/06/1957,  46.780,   5.813%,   0.117,   5.813%,   0.045,   2.011,   1.128,  76.000,   0.002,  -1.040%,   9.116%
spx,Long,26/06/1957,  47.090,1/08/1957,  47.790,   1.487%,   0.032,   1.487%,   0.045,   2.128,   1.160,  26.000,   0.001,   0.000%,   4.332%
spx,Long,20/11/1957,  39.920,26/11/1957,  40.090,   0.426%,   0.009,   0.426%,   0.054,   2.160,   1.169,   5.000,   0.002,   0.000%,   3.156%
spx,Long,27/11/1957,  41.250,17/12/1957,  39.420,  -4.436%,  -0.096,  -4.436%,   0.053,   2.169,   1.073,  14.000,  -0.007,  -4.436%,   1.139%
spx,Long,14/01/1958,  40.670,13/02/1958,  40.940,   0.664%,   0.014,   0.664%,   0.051,   2.073,   1.087,  23.000,   0.001,   0.000%,   4.401%
spx,Long,14/02/1958,  41.330,18/02/1958,  41.170,  -0.387%,  -0.008,  -0.387%,   0.050,   2.087,   1.079,   3.000,  -0.004,  -0.532%,   0.000%
spx,Long,10/03/1958,  42.210,7/04/1958,  41.330,  -2.085%,  -0.043,  -2.085%,   0.049,   2.079,   1.035,  20.000,  -0.002,  -2.085%,   0.877%
spx,Long,15/04/1958,  42.430,2/02/1959,  55.210,  30.120%,   0.613,  30.120%,   0.048,   2.035,   1.648, 202.000,   0.003,  -0.778%,  32.076%
spx,Long,27/02/1959,  55.410,1/04/1959,  55.690,   0.505%,   0.013,   0.505%,   0.048,   2.648,   1.662,  23.000,   0.001,   0.000%,   2.274%
spx,Long,3/04/1959,  56.440,9/04/1959,  56.170,  -0.478%,  -0.013,  -0.478%,   0.047,   2.662,   1.649,   5.000,  -0.003,  -0.478%,   0.283%
spx,Long,14/04/1959,  56.710,20/05/1959,  58.090,   2.433%,   0.064,   2.433%,   0.047,   2.649,   1.713,  27.000,   0.002,   0.000%,   2.927%
spx,Long,21/05/1959,  58.140,26/05/1959,  58.090,  -0.086%,  -0.002,  -0.086%,   0.047,   2.713,   1.711,   4.000,  -0.001,  -0.086%,   0.327%
spx,Long,27/05/1959,  58.190,8/06/1959,  56.760,  -2.457%,  -0.067,  -2.457%,   0.047,   2.711,   1.644,   9.000,  -0.008,  -2.457%,   0.842%
